Title,NombreCargo,Activo
CARGO-001,ADMINISTRADOR DE CONTRATOS,1
CARGO-002,ADMINISTRATIVO DE VENTAS,1
CARGO-003,ADMINISTRATIVO RRHH,1
CARGO-004,ALUMNO EN PRACTICA,1
CARGO-005,ANALISTA CONTABLE,1
CARGO-006,ANALISTA CONTROL DE COMBUSTIBLE,1
CARGO-007,ANALISTA DE CONTROL DE GESTION,1
CARGO-008,ANALISTA DE FACTURACIÓN Y COBRANZA,1
CARGO-009,ANALISTA DE OPERACIONES,1
CARGO-010,ANALISTA DE REMUNERACIONES,1
CARGO-011,ANALISTA DE RRHH JUNIOR,1
CARGO-012,ANALISTA DE TESORERIA,1
CARGO-013,ANALISTA PROGRAMADOR WEB,1
CARGO-014,ANALISTA SALA DE CONTROL,1
CARGO-015,ASEADOR,1
CARGO-016,ASESOR DE CALIDAD,1
CARGO-017,ASISTENTE,1
CARGO-018,ASISTENTE ADMINISTRATIVO,1
CARGO-019,ASISTENTE BODEGA LOS ANDES,1
CARGO-020,ASISTENTE CONTROL ASISTENCIA,1
CARGO-021,ASISTENTE DE ADQUISICIONES,1
CARGO-022,ASISTENTE DE CONTRALORIA,1
CARGO-023,ASISTENTE DE FACTURACION Y COBRANZA,1
CARGO-024,ASISTENTE DESARROLLO DE PERSONAS,1
CARGO-025,ASISTENTE GERENCIA,1
CARGO-026,AUDITOR INTERNO,1
CARGO-027,AUXILIAR,1
CARGO-028,AYUDANTE MECÁNICOS,1
CARGO-029,BODEGUERO,1
CARGO-030,CHAPISTERO,1
CARGO-031,COMPRADOR LOCAL,1
CARGO-032,CONDUCTOR 4X4 SIGDO KOPPERS VP ANDINA,1
CARGO-033,CONDUCTOR BUS,1
CARGO-034,CONDUCTOR CAMIONETA,1
CARGO-035,CONDUCTOR DE BUS,1
CARGO-036,CONDUCTOR DE FURGON,1
CARGO-037,CONDUCTOR DE TAXIBUS,1
CARGO-038,CONTADOR,1
CARGO-039,CONTROLLER,1
CARGO-040,COORDINADOR DE SERVICIOS,1
CARGO-041,COORDINADOR OPERATIVO DE TRANSPORTE,1
CARGO-042,DIRECCIÓN,1
CARGO-043,ELÉCTRICISTA,1
CARGO-044,ELECTRICO,1
CARGO-045,ENCARGADA DE RRLL,1
CARGO-046,ENCARGADO DE CONTRALORIA,1
CARGO-047,ENCARGADO DE CONTRATOS Y FINIQUITOS,1
CARGO-048,ENCARGADO DE CONTROL DE GESTION,1
CARGO-049,ENCARGADO DE RRHH,1
CARGO-050,ENCARGADO DE SELECCION DE PERSONAL,1
CARGO-051,EXPEDITOR,1
CARGO-052,INGENIERO AMBIENTAL,1
CARGO-053,INGENIERO DE CALIDAD,1
CARGO-054,INGENIERO DE ESTUDIOS,1
CARGO-055,INGENIERO DE SEGURIDAD Y SALUD OCUPACIONAL,1
CARGO-056,INSPECTOR DE RUTA,1
CARGO-057,INSTRUCTOR DE SERVICIOS,1
CARGO-058,JEFE CONTROL DE MANTENCION,1
CARGO-059,JEFE DE BODEGA,1
CARGO-060,JEFE DE FACTURACION Y COBRANZAS,1
CARGO-061,JEFE DE MANTENCIÓN,1
CARGO-062,JEFE DE OF. REGIONAL,1
CARGO-063,JEFE DE OPERACIONES,1
CARGO-064,JEFE DE PREVENCION DE RIESGOS,1
CARGO-065,JEFE DE RRHH,1
CARGO-066,JEFE DE TALLER,1
CARGO-067,JEFE DE TURNO,1
CARGO-068,JEFE DESARROLLO DE PERSONAS,1
CARGO-069,JEFE SALA DE CONTROL,1
CARGO-070,JEFE SERVICIO INTERURBANO-ESPECIAL,1
CARGO-071,LIDER LOGISTICO,1
CARGO-072,MECANICO,1
CARGO-073,MECANICO ELECTRICO,1
CARGO-074,OPERADOR CONTROLADOR,1
CARGO-075,PLANIFICADOR DE COMPRAS,1
CARGO-076,PLANIFICADOR DE TRANSPORTE,1
CARGO-077,PREVENCIONISTA DE RIESGOS,1
CARGO-078,PROGRAMADOR TI,1
CARGO-079,PSICOLOGO ORGANIZACIONAL,1
CARGO-080,SECRETARIA,1
CARGO-081,SECRETARIO TECNICO,1
CARGO-082,SUPERVISOR,1
CARGO-083,SUPERVISOR BODEGA CALAMA,1
CARGO-084,SUPERVISOR BODEGA LOS ANDES,1
CARGO-085,SUPERVISOR CONTABLE,1
CARGO-086,SUPERVISOR DE OPERACIONES,1
CARGO-087,SUPERVISOR DE PATIOS,1
CARGO-088,SUPERVISOR DE REMUNERACIONES,1
CARGO-089,TRABAJADOR SOCIAL,1
